theta    phi          y_ini             v_ini              g

27.8    139.5    0.899619599476    20.2046721434    -9.34153602932
134.7    168.1    0.993469896575    21.7953196972    -8.64398430768
113.3    76.1    0.971127701897    19.6820205882    -7.94513026328
70.2    149.1    0.932068750349    22.5072457    -8.21274842143
42.7    243.7    1.05802289298    20.6168498101    -8.98045403318
85.8    251.4    1.09898054809    20.2696518902    -8.02902055846
102.3    41.3    1.00854987566    20.4783830787    -7.90059064589
64.2    102.3    1.04582266784    19.9059193946    -8.32625082461
56.3    4.6    1.06563079292    18.9951304761    -8.53294617175
95.8    183.2    1.0247134783    19.6762428904    -7.93914330765
152.0    268.6    0.867029822646    21.4930570386    -9.37654233781
61.5    125.2    0.816069368049    21.0021925582    -8.39052754586
49.3    38.2    0.955291725345    20.4820830715    -8.75967255674
85.8    214.8    1.21084846795    20.4056203123    -8.02914321379
161.3    88.5    10.8986980227    20.0336333045    -9.15022587869
44.1    97.7    1.16950634974    20.5198718045    -8.93279941548
48.5    127.0    1.11643710101    19.1472162555    -8.78764966113
142.7    193.6    1.12965375235    18.7257421675    -9.01220667174
174.2    145.8    0.932983982331    20.3670332173    -9.73558354516
120.8    93.5    0.968831655863    20.1479044005    -8.09948376568
61.0    188.3    1.0597027976    19.4947045063    -8.40328436077
119.9    152.4    0.960271717649    18.3658860518    -8.07523674906
113.2    305.2    1.18676465468    19.8433480403    -7.94378115142
170.3    92.3    1.02726438079    19.1619133541    -9.71512186898
77.1    312.9    12.1378793876    25.8474683215    -11.331253696
46.6    177.5    1.00547310597    19.4737621762    -8.84916241548
16.5    240.4    0.883192545618    19.9327485663    -9.4160565126
152.8    160.6    0.796771916962    20.1424679031    -9.40033319436
59.4    224.5    1.00558519347    19.6638264656    -8.44591292654
42.8    176.7    1.15417242375    19.7590913224    -8.97578088555
77.4    151.6    0.964498246985    19.1851320008    -8.11522433561
86.6    211.4    1.07659978722    19.6686886599    -8.02176085261
76.8    159.8    0.888601240696    20.0389374775    -8.12220098729
